,shape of the cross section,dimensions ,span length of specimen,grade of concrete(Mpa),yield strength of the steel (Mpa),Rx2,scaled stand off distance,axial load ratio,confinement,peak deformation (mm)
107,square,200,2500,47.46,484.74,1,0.4585660630993199,0.4,1.3,37.83
108,square,200,2500,47.46,484.74,1,0.4585660630993199,0.5,1.3,38.48
109,square,200,2500,47.46,484.74,1,0.4585660630993199,0.6,1.3,39.65
110,square,200,2500,47.46,484.74,1,0.4585660630993199,0.7,1.3,41.22
111,square,200,2500,47.46,484.74,1,0.4585660630993199,0.8,1.3,42.94
112,square,200,2500,47.46,484.74,1,0.4585660630993199,0.9,1.3,44.7
113,square,200,2500,47.46,484.74,1,0.4585660630993199,1.0,1.3,46.53
114,square,200,2500,47.46,484.74,1,0.4585660630993199,0.0,1.4,36.18
115,square,200,2500,47.46,484.74,1,0.4585660630993199,0.1,1.4,35.66
116,square,200,2500,47.46,484.74,1,0.4585660630993199,0.2,1.4,35.34
117,square,200,2500,47.46,484.74,1,0.4585660630993199,0.3,1.4,35.97
118,square,200,2500,47.46,484.74,1,0.4585660630993199,0.4,1.4,36.51
119,square,200,2500,47.46,484.74,1,0.4585660630993199,0.5,1.4,37.11
120,square,200,2500,47.46,484.74,1,0.4585660630993199,0.6,1.4,38.53
121,square,200,2500,47.46,484.74,1,0.4585660630993199,0.7,1.4,40.23
122,square,200,2500,47.46,484.74,1,0.4585660630993199,0.8,1.4,41.75
123,square,200,2500,47.46,484.74,1,0.4585660630993199,0.9,1.4,43.33
124,square,200,2500,47.46,484.74,1,0.4585660630993199,1.0,1.4,45.22
125,square,200,2500,47.46,484.74,1,0.4585660630993199,0.0,1.5,34.47
126,square,200,2500,47.46,484.74,1,0.4585660630993199,0.1,1.5,34.06
127,square,200,2500,47.46,484.74,1,0.4585660630993199,0.2,1.5,33.81
128,square,200,2500,47.46,484.74,1,0.4585660630993199,0.3,1.5,34.24
129,square,200,2500,47.46,484.74,1,0.4585660630993199,0.4,1.5,34.89
130,square,200,2500,47.46,484.74,1,0.4585660630993199,0.5,1.5,35.62
131,square,200,2500,47.46,484.74,1,0.4585660630993199,0.6,1.5,37.04
132,square,200,2500,47.46,484.74,1,0.4585660630993199,0.7,1.5,38.5
133,square,200,2500,47.46,484.74,1,0.4585660630993199,0.8,1.5,40.09
134,square,200,2500,47.46,484.74,1,0.4585660630993199,0.9,1.5,41.79
135,square,200,2500,47.46,484.74,1,0.4585660630993199,1.0,1.5,43.77
136,square,200,2500,47.46,484.74,1,0.4585660630993199,0.0,1.6,33.08
137,square,200,2500,47.46,484.74,1,0.4585660630993199,0.1,1.6,32.75
138,square,200,2500,47.46,484.74,1,0.4585660630993199,0.2,1.6,32.57
139,square,200,2500,47.46,484.74,1,0.4585660630993199,0.3,1.6,33.03
140,square,200,2500,47.46,484.74,1,0.4585660630993199,0.4,1.6,33.71
141,square,200,2500,47.46,484.74,1,0.4585660630993199,0.5,1.6,34.4
142,square,200,2500,47.46,484.74,1,0.4585660630993199,0.6,1.6,35.79
143,square,200,2500,47.46,484.74,1,0.4585660630993199,0.7,1.6,37.32
144,square,200,2500,47.46,484.74,1,0.4585660630993199,0.8,1.6,38.92
145,square,200,2500,47.46,484.74,1,0.4585660630993199,0.9,1.6,40.64
146,square,200,2500,47.46,484.74,1,0.4585660630993199,1.0,1.6,42.63
